# Periodic table
#
# The data in this file are published by the International Union of Pure and Applied Chemistry (IUPAC),
# Commission on Isotopic Abundances and Atomic Weights (CIAAW). The data were downloaded from the
# following sources. See links for more information and references.
#
# * atomic masses
#     publication: Wang et al, The Ame2012 atomic mass evaluation, Chinese Physics C, 2012, 36, 1603-2014
#     doi: https://doi.org/10.1088/1674-1137/36/12/003
#     data url: http://ciaaw.org/atomic-masses.htm
#
# * isotopic abundances:
#     publication: Meija et al, Isotopic compositions of the elements 2013, Pure and Applied Chemistry, 2016, 88, 293-306 (table 1)
#     doi: https://doi.org/10.1515/pac-2015-0503
#     data url:  https://www.degruyter.com/table/j/pac.2016.88.issue-3/pac-2015-0503/pac-2015-0503.xml?id=j_pac-2015-0503_tab_001
#
atomic number,element,element name,major isotope,isotope,atomic mass,mass,abundance,standard
1,H,hydrogen,1H,1H,1,1.0078250322,0.99984426,VSMOW
1,H,hydrogen,1H,2H,2,2.0141017781,0.00015574,VSMOW
1,H,deuterium,1H,D,2,2.0141017781,0.00015574,VSMOW
2,He,helium,4He,3He,3,3.01602932,1.343e-06,Air
2,He,helium,4He,4He,4,4.0026032541,0.999998657,Air
3,Li,lithium,7Li,6Li,6,6.015122887,0.07589,IRMM-016
3,Li,lithium,7Li,7Li,7,7.01600344,0.92411,IRMM-016
4,Be,beryllium,9Be,9Be,9,9.0121831,1.0,IRMM-016
5,B,boron,11B,10B,10,10.012936999999999,0.1982,IRMM-011
5,B,boron,11B,11B,11,11.009305,0.8018,IRMM-011
6,C,carbon,12C,12C,12,12.0,0.988922,NBS 19
6,C,carbon,12C,13C,13,13.003354835,0.011078,NBS 19
7,N,nitrogen,14N,14N,14,14.003074004,0.996337,Air
7,N,nitrogen,14N,15N,15,15.000108899,0.0036630000000000005,Air
8,O,oxygen,16O,16O,16,15.99491462,0.9976206,VSMOW
8,O,oxygen,16O,17O,17,16.999131757,0.000379,VSMOW
8,O,oxygen,16O,18O,18,17.999159613,0.0020004000000000003,VSMOW
9,F,fluorine,19F,19F,19,18.998403163,1.0,VSMOW
10,Ne,neon,20Ne,20Ne,20,19.99244018,0.9048379999999999,Air
10,Ne,neon,20Ne,21Ne,21,20.9938467,0.002696,Air
10,Ne,neon,20Ne,22Ne,22,21.991385100000002,0.09246499999999999,Air
11,Na,sodium,23Na,23Na,23,22.98976928,1.0,Air
12,Mg,magnesium,24Mg,24Mg,24,23.9850417,0.78951,DSM-3
12,Mg,magnesium,24Mg,25Mg,25,24.985837,0.1002,DSM-3
12,Mg,magnesium,24Mg,26Mg,26,25.982592999999998,0.11029000000000001,DSM-3
13,Al,aluminium,27Al,27Al,27,26.9815385,1.0,DSM-3
14,Si,silicon,28Si,28Si,28,27.976926535,0.9222968,WASO-17.2
14,Si,silicon,28Si,29Si,29,28.976494665,0.046831599999999994,WASO-17.2
14,Si,silicon,28Si,30Si,30,29.97377001,0.030871600000000003,WASO-17.2
15,P,phosphorous,31P,31P,31,30.973761998,1.0,WASO-17.2
16,S,sulfur,32S,32S,32,31.972071174,0.9504074,IAEA-S-1
16,S,sulfur,32S,33S,33,32.97145891,0.0074869,IAEA-S-1
16,S,sulfur,32S,34S,34,33.967867,0.0419599,IAEA-S-1
16,S,sulfur,32S,36S,36,35.967081,0.00014580000000000002,IAEA-S-1
17,Cl,chlorine,35Cl,35Cl,35,34.9688527,0.7576470000000001,NIST SRM 975
17,Cl,chlorine,35Cl,37Cl,37,36.9659026,0.242353,NIST SRM 975
18,Ar,argon,40Ar,36Ar,36,35.9675451,0.0033361,Air
18,Ar,argon,40Ar,38Ar,38,37.962732,0.0006288999999999999,Air
18,Ar,argon,40Ar,40Ar,40,39.96238312,0.996035,Air
19,K,potassium,39K,39K,39,38.96370649,0.932581,NIST SRM 985
19,K,potassium,39K,40K,40,39.9639982,0.0001167,NIST SRM 985
19,K,potassium,39K,41K,41,40.96182526,0.067302,NIST SRM 985
20,Ca,calcium,40Ca,40Ca,40,39.962590899999995,0.96941,NIST SRM 915
20,Ca,calcium,40Ca,42Ca,42,41.958618,0.00647,NIST SRM 915
20,Ca,calcium,40Ca,43Ca,43,42.958766,0.00135,NIST SRM 915
20,Ca,calcium,40Ca,44Ca,44,43.955482,0.02086,NIST SRM 915
20,Ca,calcium,40Ca,46Ca,46,45.95369,4e-05,NIST SRM 915
20,Ca,calcium,40Ca,48Ca,48,47.9525228,0.00187,NIST SRM 915
21,Sc,scandium,45Sc,45Sc,45,44.955908,1.0,NIST SRM 915
22,Ti,titanium,48Ti,46Ti,46,45.952628000000004,0.08249,TiO2
22,Ti,titanium,48Ti,47Ti,47,46.951759,0.07437,TiO2
22,Ti,titanium,48Ti,48Ti,48,47.947942,0.7372,TiO2
22,Ti,titanium,48Ti,49Ti,49,48.947866,0.05409,TiO2
22,Ti,titanium,48Ti,50Ti,50,49.944787,0.05185,TiO2
23,V,vanadium,51V,50V,50,49.947156,0.002497,Lead vanadate
23,V,vanadium,51V,51V,51,50.943957,0.997503,Lead vanadate
24,Cr,chromium,52Cr,50Cr,50,49.946042,0.043452,NIST SRM 979
24,Cr,chromium,52Cr,52Cr,52,51.940506,0.8378950000000001,NIST SRM 979
24,Cr,chromium,52Cr,53Cr,53,52.940647999999996,0.095006,NIST SRM 979
